iter	Passed	Remaining
913	7615	2382
914	7624	2374
915	7633	2366
916	7642	2358
917	7651	2350
918	7659	2342
919	7668	2333
920	7677	2325
921	7686	2317
922	7698	2310
923	7707	2302
924	7716	2294
925	7726	2286
926	7735	2278
927	7744	2270
928	7753	2261
929	7763	2253
930	7772	2245
931	7781	2237
932	7791	2229
933	7800	2221
934	7809	2213
935	7819	2205
936	7828	2197
937	7836	2189
938	7846	2181
939	7855	2172
940	7864	2164
941	7873	2156
942	7882	2148
943	7891	2140
944	7900	2131
945	7910	2123
946	7919	2115
947	7928	2107
948	7937	2099
949	7945	2091
950	7954	2082
951	7964	2074
952	7973	2066
953	7982	2058
954	7990	2049
955	8001	2042
956	8011	2034
957	8021	2026
958	8030	2018
959	8040	2010
960	8049	2001
961	8058	1993
962	8067	1985
963	8076	1977
964	8085	1968
965	8094	1960
966	8103	1952
967	8112	1944
968	8121	1935
969	8130	1927
970	8139	1919
971	8148	1911
972	8158	1903
973	8166	1894
974	8175	1886
975	8183	1878
976	8193	1870
977	8202	1861
978	8211	1853
979	8221	1845
980	8231	1837
981	8240	1829
982	8249	1821
983	8258	1812
984	8267	1804
985	8277	1796
986	8286	1788
987	8295	1780
988	8304	1771
989	8313	1763
990	8323	1755
991	8332	1747
992	8341	1738
993	8350	1730
994	8359	1722
995	8369	1714
996	8378	1705
997	8387	1697
998	8396	1689
999	8405	1681
1000	8414	1672
1001	8423	1664
1002	8433	1656
1003	8442	1648
1004	8452	1639
1005	8461	1631
1006	8470	1623
1007	8480	1615
1008	8489	1607
1009	8499	1598
1010	8509	1590
1011	8518	1582
1012	8528	1574
1013	8537	1566
1014	8546	1557
1015	8555	1549
1016	8566	1541
1017	8575	1533
1018	8584	1524
1019	8593	1516
1020	8602	1508
1021	8611	1499
1022	8625	1492
1023	8634	1483
1024	8643	1475
1025	8653	1467
1026	8662	1459
1027	8671	1450
1028	8681	1442
1029	8690	1434
1030	8699	1426
1031	8708	1417
1032	8718	1409
1033	8727	1401
1034	8737	1392
1035	8746	1384
1036	8755	1376
1037	8765	1367
1038	8773	1359
1039	8782	1351
1040	8791	1342
1041	8801	1334
1042	8809	1326
1043	8819	1317
1044	8828	1309
1045	8837	1301
1046	8846	1292
1047	8856	1284
1048	8865	1276
1049	8874	1267
1050	8884	1259
1051	8893	1251
1052	8902	1242
1053	8912	1234
1054	8921	1226
1055	8930	1217
1056	8939	1209
1057	8948	1201
1058	8957	1192
1059	8966	1184
1060	8978	1176
